Subject,TripletNumber,Rotation,MovementCondition,STL,Experiment,Retained,RetainedRaw,DistanceTraveled,RT,Go,NoGo
17,27,cw,stop,-3.52023769,IRLRotn,0.176812489,-0.622421987,0.001447916,389,0,-15
17,28,cw,go,1.819964402,IRLRotn,0.946328731,1.722284603,0.080058851,504,-15,0
17,34,cw,go,1.406909638,IRLRotn,1.604773291,2.25777101,0.080433877,367,-15,0
17,36,cw,go,1.440493467,IRLRotn,0.671743984,0.967642821,0.080601406,368,-15,0
17,37,ccw,stop,-2.188293845,IRLRotn,NaN,NaN,0.002555029,970,0,15
17,40,cw,stop,-1.439068217,IRLRotn,NaN,NaN,0.003725421,NaN,0,-15
17,42,cw,go,3.932315787,IRLRotn,0.486179416,1.911810994,0.08116445,388,-15,0
17,45,ccw,stop,1.237078592,IRLRotn,0.57125972,0.706693171,0.004462335,660,0,15
17,47,cw,go,0.378005702,IRLRotn,-7.689269467,-2.9065877,0.080103886,371,-15,0
17,48,ccw,go,-3.440985213,IRLRotn,1.511242242,-5.200162208,0.080127566,431,15,0
17,50,cw,go,3.31272956,IRLRotn,0.064759738,0.2145315,0.080656683,338,-15,0
17,55,cw,go,5.290434156,IRLRotn,NaN,NaN,0.080520111,505,-15,0
17,57,cw,stop,0.043792986,IRLRotn,33.80650607,1.480487832,0.002713014,538,0,-15
17,59,cw,stop,0.480169538,IRLRotn,NaN,NaN,0.001060209,515,0,-15
17,61,ccw,stop,0.119235957,IRLRotn,-16.77684179,-2.00040278,0.00131151,325,0,15
17,63,cw,go,-0.530465391,IRLRotn,-1.69557446,0.899443568,0.08052253,411,-15,0
17,64,ccw,go,-5.655701742,IRLRotn,-0.035105348,0.198545376,0.080272595,358,15,0
17,67,cw,stop,-0.879832844,IRLRotn,5.04339323,-4.437343009,0.00375645,400,0,-15
17,68,ccw,go,-6.054842167,IRLRotn,1.033044963,-6.254924201,0.080592541,367,15,0
17,69,ccw,stop,0.255798903,IRLRotn,4.13157528,1.056852425,0.001003386,386,0,15
17,71,cw,go,3.200854805,IRLRotn,0.514629413,1.647254031,0.080897723,447,-15,0
17,72,ccw,go,-3.516390226,IRLRotn,0.351346017,-1.235469702,0.080408804,386,15,0
17,77,ccw,stop,1.509893695,IRLRotn,NaN,NaN,0.004632108,445,0,15
17,79,cw,go,6.480082928,IRLRotn,0.83279641,5.396589798,0.080596425,608,-15,0
17,80,ccw,go,-3.609674489,IRLRotn,NaN,NaN,0.080275265,NaN,15,0
17,83,cw,go,1.155070104,IRLRotn,-2.051078967,-2.369139995,0.080554975,446,-15,0
17,84,ccw,go,-1.50179877,IRLRotn,0.959059244,-1.440313993,0.080977625,329,15,0
17,85,cw,stop,0.921046541,IRLRotn,-2.867246919,-2.640867856,0.000958776,431,0,-15
17,88,ccw,go,-0.942896506,IRLRotn,-1.615139645,1.522909528,0.080046237,478,15,0
17,90,cw,stop,-3.252354671,IRLRotn,0.873096682,-2.839620071,0.001657702,441,0,-15
17,91,cw,go,6.780373915,IRLRotn,0.435669308,2.954000809,0.080975528,358,-15,0
17,92,ccw,go,-3.746577962,IRLRotn,0.606509131,-2.272333745,0.080394741,327,15,0
17,96,ccw,go,1.020879407,IRLRotn,NaN,NaN,0.080476554,453,15,0
17,98,cw,stop,1.774064543,IRLRotn,1.707913099,3.029948071,0.004386754,358,0,-15
17,99,cw,go,2.122554085,IRLRotn,NaN,NaN,0.080116867,1248,-15,0
17,102,cw,go,5.382234696,IRLRotn,0.772014566,4.155163582,0.080104198,543,-15,0
17,106,cw,stop,1.416684411,IRLRotn,-0.162257359,-0.229867471,0.001393986,697,0,-15
17,107,cw,go,4.615665573,IRLRotn,0.809285261,3.735390118,0.080189418,358,-15,0
17,108,ccw,go,-1.727621425,IRLRotn,1.308945637,-2.261362526,0.080054138,430,15,0
17,110,cw,go,2.733764669,IRLRotn,1.365661613,3.733397468,0.080024685,401,-15,0
17,112,ccw,go,-3.41083653,IRLRotn,-0.231522238,0.789684508,0.08038453,375,15,0
17,115,cw,go,2.700845289,IRLRotn,-0.078643833,-0.212404827,0.080429914,367,-15,0
17,116,ccw,go,-3.410734667,IRLRotn,0.762602408,-2.601034471,0.080396219,363,15,0
17,118,cw,go,1.241194086,IRLRotn,3.716302947,4.61265324,0.080842878,708,-15,0
17,120,ccw,go,2.091809041,IRLRotn,NaN,NaN,0.080842917,NaN,15,0
17,127,ccw,go,-1.693185211,IRLRotn,2.174634435,-3.682058864,0.080019596,483,15,0
17,128,cw,go,0.094925809,IRLRotn,NaN,NaN,0.080245097,341,-15,0
17,133,ccw,stop,-2.30775984,IRLRotn,-1.2233755,2.823256848,0.00168284,398,0,15
17,137,cw,go,0.88131323,IRLRotn,0.069096446,0.060895612,0.080416745,370,-15,0
17,140,ccw,stop,2.690181379,IRLRotn,1.200154636,3.228633653,0.004774199,366,0,15
17,143,ccw,go,-0.667807943,IRLRotn,-1.842174803,1.230218966,0.080275507,652,15,0
17,144,cw,go,1.421030956,IRLRotn,3.344373701,4.752458558,0.08052449,401,-15,0
17,145,cw,go,-2.167715618,IRLRotn,0.32123565,-0.696347536,0.08050065,410,-15,0
17,147,ccw,go,-1.086077538,IRLRotn,0.463828222,-0.503753413,0.080312952,359,15,0
17,151,ccw,go,-0.357147344,IRLRotn,-1.820524595,0.650195525,0.08089289,356,15,0
17,152,cw,go,6.577384218,IRLRotn,0.776152685,5.105054423,0.080784065,411,-15,0
17,153,cw,go,-0.726180388,IRLRotn,0.294226209,-0.213661302,0.080787384,371,-15,0
17,157,ccw,stop,-0.097924803,IRLRotn,-11.91602343,1.16687425,0.001885696,427,0,15
17,159,ccw,go,-6.681264597,IRLRotn,0.83583587,-5.584440608,0.080435991,397,15,0
18,1,cw,go,12.4857006,IRLRotn,1.031252072,12.87590461,0.080318343,345,-15,0
18,2,ccw,go,-14.72350723,IRLRotn,0.891778997,-13.13011451,0.080471141,390,15,0
18,3,ccw,go,-0.974116706,IRLRotn,0.719731376,-0.701102357,0.080103893,399,15,0
18,5,cw,stop,2.649353748,IRLRotn,0.749660091,1.986114773,0.002107305,515,0,-15
18,7,ccw,stop,-5.161001633,IRLRotn,0.662947748,-3.421474409,0.001096783,504,0,15
18,8,cw,go,5.619445535,IRLRotn,0.824545274,4.633487258,0.080309949,384,-15,0
18,9,cw,go,0.552021901,IRLRotn,2.909323272,1.606010163,0.08005225,349,-15,0
18,10,ccw,go,-16.81218341,IRLRotn,0.156391492,-2.629282444,0.0826074,390,15,0
18,11,ccw,go,-7.79826436,IRLRotn,0.62728825,-4.891759603,0.080978977,355,15,0
18,12,ccw,stop,5.959937239,IRLRotn,0.013180541,0.078555196,0.002988292,295,0,15
18,15,ccw,stop,0.756401153,IRLRotn,-8.16078547,-6.172827539,0.0019786,365,0,15
18,16,cw,go,7.967618802,IRLRotn,0.340134517,2.71006217,0.081701124,429,-15,0
18,17,cw,go,2.832194389,IRLRotn,3.055402978,8.653495168,0.080307767,417,-15,0
18,18,ccw,go,-7.75525148,IRLRotn,0.598423914,-4.640927945,0.080301937,483,15,0
18,19,ccw,go,-3.427704813,IRLRotn,-0.326536167,1.11926959,0.081975838,385,15,0
18,20,ccw,stop,-1.947856026,IRLRotn,1.092355329,-2.12775091,0.001671444,357,0,15
18,22,cw,stop,1.860928608,IRLRotn,-2.410765452,-4.486262395,0.004113298,355,0,-15
18,23,ccw,stop,-4.592973601,IRLRotn,-0.611862445,2.810268058,0.001143752,487,0,15
18,24,cw,go,6.725652338,IRLRotn,0.474541628,3.191602011,0.080125811,415,-15,0
18,25,cw,go,3.47706801,IRLRotn,0.798134862,2.775169197,0.082071839,381,-15,0
18,26,ccw,go,-7.023543912,IRLRotn,-0.226609918,1.591604711,0.080818338,355,15,0
18,27,ccw,go,-9.557149107,IRLRotn,0.916038591,-8.7547174,0.080973376,450,15,0
18,28,ccw,stop,1.506367479,IRLRotn,-0.860842994,-1.29674589,0.000466765,366,0,15
18,29,cw,stop,-1.570435652,IRLRotn,-1.335624262,2.097511958,0.001194834,376,0,-15
18,31,ccw,stop,-4.771780868,IRLRotn,0.173009647,-0.825564123,0.001216121,387,0,15
18,32,cw,go,4.103256174,IRLRotn,-0.200811426,-0.823980722,0.080392561,558,-15,0
18,33,cw,go,5.2473516,IRLRotn,0.614425706,3.224107713,0.08004986,635,-15,0
