Subject,Rotation,MovementCondition,STL,Experiment,Retention,RetentionRaw,STLRightWay,STLWrongWay
13,15,go,-3.20540971375171,IRLRotn,0.642858316594556,-3.47748380509439,-5.24070156920097,2.6052427896911
13,15,nogo,-1.93382916536466,IRLRotn,1.25230063604623,-2.09102095021027,-2.17278557868719,0.577068440264448
13,-15,go,4.8771217342064,IRLRotn,0.677123813329186,1.92570658640608,5.13571078104275,-1.61052164437534
13,-15,nogo,2.64319711133527,IRLRotn,0.588930127296922,0.563160878909599,3.4765047797937,-2.45760054641802
14,15,go,-4.91761044431206,IRLRotn,0.716262047853739,-3.43241134371961,-5.34757420072219,0.50368238135016
14,15,nogo,0.0926627499753891,IRLRotn,0.623142748434511,-1.09016989782124,-1.93505407799179,1.91574778201451
14,-15,go,4.82704270355258,IRLRotn,0.652792045765122,4.68181231596273,4.89347494809059,-1.04744336694451
14,-15,nogo,2.08321988783744,IRLRotn,0.581966530777842,1.84998176609574,3.17884563502835,-0.537461794743194
15,15,go,-4.95695006196803,IRLRotn,0.683057869425761,-3.70391655647008,-6.36769883432505,2.77595873058891
15,15,nogo,0.304061639430188,IRLRotn,0.523602862464381,-0.00231359960537247,-3.49357562742344,3.02378424307341
15,-15,go,2.64610412750858,IRLRotn,0.679874665899506,3.7337050081068,3.10114826935737,-1.70005599131228
15,-15,nogo,0.793345762637585,IRLRotn,-0.237448097069264,-0.483534887053537,2.09587278008191,-3.01976681322878
16,15,go,-3.29423547891315,IRLRotn,0.633616846742257,-2.54705360451842,-3.50072293692909,1.75040352848757
16,15,nogo,0.835631834963792,IRLRotn,0.0308611236781631,-0.0335088974392335,-4.86505466612197,1.34478867476052
16,-15,go,3.37976475868011,IRLRotn,0.526995700614073,2.55031739319206,3.7772407870525,-0.933990037988565
16,-15,nogo,1.22320860330405,IRLRotn,0.0855392269750086,0.147088204546552,1.23201938321069,-2.5001020851851
17,15,go,-3.41073466693932,IRLRotn,0.612909363352092,-1.85083825981598,-3.41083652969574,1.55634422388928
17,15,nogo,0.119235956642619,IRLRotn,-0.0571670429448081,0.706693170590427,-2.1882938448443,1.37348614373218
17,-15,go,2.41169968704742,IRLRotn,0.671743984230487,1.91181099382591,2.96730973714755,-0.628322889303629
17,-15,nogo,0.40941770752552,IRLRotn,1.70791309884729,-0.229867470819592,0.5295896894416,-2.34571144361209
18,15,go,-3.66081745262315,IRLRotn,0.716661312736323,-1.76806514151663,-4.46383040288295,1.59260708488824
18,15,nogo,-0.944562551421534,IRLRotn,0.648657730444644,-0.641188984830045,-4.37555283948123,1.27539943409696
18,-15,go,3.47706800982372,IRLRotn,0.728878227094948,2.72692751672898,4.06891890341256,-3.76995861422944
18,-15,nogo,1.81111535324855,IRLRotn,0.418230070296989,1.83534292803044,2.51451474187129,-1.29625081555751
19,15,go,-1.60020632221386,IRLRotn,0.798117639405356,-1.41189670997744,-3.20824602576688,1.84794387426197
19,15,nogo,1.25823277979906,IRLRotn,0.488854990763531,0.416104390671848,-1.41081970317867,1.75634899640487
19,-15,go,1.41612484169721,IRLRotn,0.960278105328142,2.18205888648546,1.96259171990154,-1.21382946280468
19,-15,nogo,0.0598908106421732,IRLRotn,0.510334919380215,1.78855275848068,3.94279252032049,-1.35685600465369
20,15,go,-4.01077130377981,IRLRotn,0.54200923593101,-2.94141578549263,-5.91065219751135,2.77451993409888
20,15,nogo,-1.30035488590154,IRLRotn,0.772443303239762,-1.43766099720527,-3.1929497150362,2.11096961829634
20,-15,go,4.06475321540197,IRLRotn,0.607309554497875,4.10675165879352,6.14309337549805,-2.7518432797363
20,-15,nogo,2.36899326206194,IRLRotn,0.119191288056507,1.03071088394442,3.53399897419335,-0.0657601446972578
